BPL_ID,BPL_tag,Name,Gender,Age,Pincode,address,District,state,past_enrolled_in_magic_bus,last_govt_data_updated_on,no_of_family_members,relation_to_head,is_head_of_family,current_age
BPL200034,yes,Neha Kumar,Female,22,700001,"H.No. 786, Ward 13",Kolkata,West Bengal,no,4/21/2021,6,Son,no,27
BPL200035,yes,Suresh Iyer,Male,19,700001,"H.No. 524, Ward 15",Kolkata,West Bengal,yes,4/21/2021,4,Daughter,no,24
BPL200036,yes,Vikas Patil,Male,19,700001,"H.No. 858, Ward 2",Kolkata,West Bengal,no,4/21/2021,4,Sister,no,24
BPL200037,yes,Vikas Iyer,Male,22,700001,"H.No. 288, Ward 24",Kolkata,West Bengal,no,4/21/2021,4,Brother,no,27
BPL200038,yes,Prakash Naidu,Male,24,700001,"H.No. 191, Ward 25",Kolkata,West Bengal,no,4/21/2021,4,Brother,no,29
BPL200039,yes,Asha Verma,Female,25,700001,"H.No. 647, Ward 25",Kolkata,West Bengal,no,4/21/2021,3,Daughter,no,30
BPL200040,yes,Suresh Sharma,Male,24,700001,"H.No. 245, Ward 23",Kolkata,West Bengal,yes,4/21/2021,4,Sister,no,29
BPL200041,yes,Amit Reddy,Male,23,700001,"H.No. 440, Ward 6",Kolkata,West Bengal,yes,4/21/2021,6,Daughter,no,28
BPL200042,yes,Suresh Naidu,Male,19,700001,"H.No. 271, Ward 11",Kolkata,West Bengal,no,4/21/2021,6,Sister,no,24
BPL200043,yes,Rahul Das,Male,24,700001,"H.No. 227, Ward 11",Kolkata,West Bengal,yes,4/21/2021,6,Daughter,no,29
BPL200044,yes,Ritu Das,Female,22,700001,"H.No. 236, Ward 18",Kolkata,West Bengal,yes,4/21/2021,5,Son,no,27
BPL200045,yes,Suresh Singh,Male,22,700001,"H.No. 528, Ward 23",Kolkata,West Bengal,no,4/21/2021,5,Brother,no,27
BPL200046,yes,Arjun Reddy,Male,24,700001,"H.No. 717, Ward 22",Kolkata,West Bengal,no,4/21/2021,6,Daughter,no,29
BPL200047,yes,Suresh Patil,Male,25,700001,"H.No. 539, Ward 4",Kolkata,West Bengal,no,4/21/2021,5,Son,no,30
BPL200048,yes,Asha Verma,Female,25,700001,"H.No. 669, Ward 10",Kolkata,West Bengal,no,4/21/2021,6,Brother,no,30
BPL200049,yes,Anil Naidu,Male,19,700001,"H.No. 150, Ward 19",Kolkata,West Bengal,no,4/21/2021,5,Daughter,no,24
BPL200050,yes,Prakash Patil,Male,25,700001,"H.No. 797, Ward 23",Kolkata,West Bengal,no,4/21/2021,5,Daughter,no,30
BPL200051,yes,Amit Reddy,Male,20,700001,"H.No. 479, Ward 23",Kolkata,West Bengal,no,4/21/2021,6,Daughter,no,25
BPL200052,yes,Suresh Reddy,Male,18,700001,"H.No. 352, Ward 17",Kolkata,West Bengal,yes,4/21/2021,3,Daughter,no,23
BPL200053,yes,Asha Iyer,Female,25,700001,"H.No. 902, Ward 11",Kolkata,West Bengal,no,4/21/2021,6,Daughter,no,30
BPL200054,yes,Prakash Reddy,Male,24,700001,"H.No. 306, Ward 17",Kolkata,West Bengal,no,4/21/2021,4,Daughter,no,29
BPL200055,yes,Asha Sharma,Female,21,700001,"H.No. 18, Ward 14",Kolkata,West Bengal,yes,4/21/2021,4,Daughter,no,26
BPL200056,yes,Rohit Iyer,Male,19,700001,"H.No. 744, Ward 22",Kolkata,West Bengal,no,4/21/2021,3,Sister,no,24
BPL200057,yes,Asha Patil,Female,24,700001,"H.No. 694, Ward 3",Kolkata,West Bengal,no,4/21/2021,3,Sister,no,29
BPL200058,yes,Sunita Iyer,Female,21,700001,"H.No. 414, Ward 8",Kolkata,West Bengal,no,4/21/2021,3,Sister,no,26
BPL200059,yes,Divya Das,Female,20,700001,"H.No. 253, Ward 3",Kolkata,West Bengal,no,4/21/2021,3,Daughter,no,25
BPL200060,yes,Amit Naidu,Male,24,700001,"H.No. 262, Ward 9",Kolkata,West Bengal,no,4/21/2021,3,Sister,no,29
BPL200061,yes,Kavya Reddy,Female,18,700001,"H.No. 558, Ward 17",Kolkata,West Bengal,no,4/21/2021,5,Son,no,23
BPL200062,yes,Kavya Sharma,Female,19,700001,"H.No. 635, Ward 1",Kolkata,West Bengal,no,4/21/2021,6,Daughter,no,24
BPL200063,yes,Neha Das,Female,25,700001,"H.No. 699, Ward 18",Kolkata,West Bengal,no,4/21/2021,5,Son,no,30
BPL200064,yes,Arjun Iyer,Male,18,700001,"H.No. 739, Ward 21",Kolkata,West Bengal,no,4/21/2021,6,Sister,no,23
BPL200065,yes,Neha Iyer,Female,19,700001,"H.No. 806, Ward 19",Kolkata,West Bengal,no,4/21/2021,5,Son,no,24
BPL200066,yes,Manoj Singh,Male,18,700001,"H.No. 45, Ward 14",Kolkata,West Bengal,no,4/21/2021,5,Daughter,no,23
BPL200067,yes,Divya Das,Female,18,700001,"H.No. 35, Ward 6",Kolkata,West Bengal,no,4/21/2021,5,Daughter,no,23
BPL200068,yes,Rohit Das,Male,22,700001,"H.No. 758, Ward 6",Kolkata,West Bengal,yes,4/21/2021,6,Daughter,no,27
BPL200069,yes,Asha Naidu,Female,23,700001,"H.No. 348, Ward 9",Kolkata,West Bengal,yes,4/21/2021,5,Son,no,28
BPL200070,yes,Manoj Verma,Male,21,700001,"H.No. 687, Ward 3",Kolkata,West Bengal,no,4/21/2021,3,Sister,no,26
BPL200071,yes,Prakash Patil,Male,22,700001,"H.No. 231, Ward 14",Kolkata,West Bengal,no,4/21/2021,5,Son,no,27
BPL200072,yes,Kavya Kumar,Female,24,700001,"H.No. 797, Ward 6",Kolkata,West Bengal,no,4/21/2021,5,Daughter,no,29
BPL200073,yes,Lakshmi Das,Female,25,700001,"H.No. 980, Ward 14",Kolkata,West Bengal,yes,4/21/2021,6,Brother,no,30
BPL200074,yes,Kavya Kumar,Female,22,700001,"H.No. 905, Ward 18",Kolkata,West Bengal,yes,4/21/2021,5,Sister,no,27
BPL200075,yes,Lakshmi Singh,Female,25,700001,"H.No. 36, Ward 12",Kolkata,West Bengal,no,4/21/2021,6,Brother,no,30
BPL200076,yes,Deepak Naidu,Male,25,700001,"H.No. 755, Ward 1",Kolkata,West Bengal,no,4/21/2021,4,Brother,no,30
BPL200077,yes,Suresh Naidu,Male,21,700001,"H.No. 546, Ward 8",Kolkata,West Bengal,no,4/21/2021,5,Sister,no,26
BPL200078,yes,Lakshmi Singh,Female,24,700001,"H.No. 98, Ward 24",Kolkata,West Bengal,no,4/21/2021,4,Daughter,no,29
BPL200079,yes,Vikas Naidu,Male,22,700001,"H.No. 909, Ward 8",Kolkata,West Bengal,yes,4/21/2021,6,Son,no,27
BPL200080,yes,Meena Gowda,Female,18,700001,"H.No. 882, Ward 4",Kolkata,West Bengal,no,4/21/2021,6,Sister,no,23
BPL200081,yes,Sunita Naidu,Female,18,700001,"H.No. 240, Ward 10",Kolkata,West Bengal,yes,4/21/2021,4,Daughter,no,23
BPL200082,yes,Meena Sharma,Female,23,700001,"H.No. 281, Ward 22",Kolkata,West Bengal,yes,4/21/2021,4,Son,no,28
BPL200083,yes,Pooja Das,Female,24,700001,"H.No. 41, Ward 10",Kolkata,West Bengal,yes,4/21/2021,4,Son,no,29
BPL200084,yes,Manoj Reddy,Male,18,700001,"H.No. 567, Ward 19",Kolkata,West Bengal,no,4/21/2021,5,Sister,no,23
BPL200085,yes,Neha Das,Female,25,700001,"H.No. 114, Ward 5",Kolkata,West Bengal,yes,4/21/2021,3,Brother,no,30
BPL200086,yes,Arjun Verma,Male,19,700001,"H.No. 715, Ward 19",Kolkata,West Bengal,no,4/21/2021,3,Son,no,24
BPL200087,yes,Rahul Singh,Male,25,700001,"H.No. 146, Ward 17",Kolkata,West Bengal,yes,4/21/2021,4,Son,no,30
BPL200088,yes,Anil Verma,Male,18,700001,"H.No. 398, Ward 20",Kolkata,West Bengal,yes,4/21/2021,6,Brother,no,23
BPL200089,yes,Rohit Iyer,Male,19,700001,"H.No. 171, Ward 25",Kolkata,West Bengal,yes,4/21/2021,5,Brother,no,24
BPL200090,yes,Kavya Reddy,Female,19,700001,"H.No. 338, Ward 19",Kolkata,West Bengal,yes,4/21/2021,6,Sister,no,24
BPL200091,yes,Amit Iyer,Male,25,700001,"H.No. 891, Ward 15",Kolkata,West Bengal,no,4/21/2021,3,Son,no,30
BPL200092,yes,Ritu Reddy,Female,18,700001,"H.No. 894, Ward 22",Kolkata,West Bengal,no,4/21/2021,4,Son,no,23
BPL200093,yes,Anita Kumar,Female,25,700001,"H.No. 638, Ward 16",Kolkata,West Bengal,no,4/21/2021,6,Son,no,30
BPL200094,yes,Pooja Sharma,Female,20,700001,"H.No. 270, Ward 2",Kolkata,West Bengal,no,4/21/2021,4,Brother,no,25
BPL200095,yes,Pooja Iyer,Female,18,700001,"H.No. 150, Ward 7",Kolkata,West Bengal,yes,4/21/2021,5,Brother,no,23
BPL200096,yes,Asha Verma,Female,25,700001,"H.No. 292, Ward 20",Kolkata,West Bengal,yes,4/21/2021,5,Son,no,30
BPL200097,yes,Manoj Patil,Male,23,700001,"H.No. 798, Ward 13",Kolkata,West Bengal,yes,4/21/2021,6,Daughter,no,28
BPL200098,yes,Divya Naidu,Female,21,700001,"H.No. 242, Ward 15",Kolkata,West Bengal,yes,4/21/2021,6,Brother,no,26
BPL200099,yes,Arjun Patil,Male,22,700001,"H.No. 555, Ward 18",Kolkata,West Bengal,no,4/21/2021,4,Sister,no,27
BPL200100,yes,Manoj Sharma,Male,25,700001,"H.No. 573, Ward 7",Kolkata,West Bengal,yes,4/21/2021,4,Sister,no,30
BPL200101,yes,Meena Sharma,Female,24,700001,"H.No. 640, Ward 20",Kolkata,West Bengal,no,4/21/2021,5,Sister,no,29
BPL200102,yes,Anil Iyer,Male,19,700001,"H.No. 920, Ward 10",Kolkata,West Bengal,yes,4/21/2021,5,Son,no,24
BPL200103,yes,Anil Singh,Male,25,700001,"H.No. 66, Ward 1",Kolkata,West Bengal,yes,4/21/2021,6,Daughter,no,30
BPL200104,yes,Kavya Verma,Female,19,700001,"H.No. 890, Ward 20",Kolkata,West Bengal,no,4/21/2021,6,Brother,no,24
BPL200105,yes,Deepak Das,Male,18,700001,"H.No. 375, Ward 25",Kolkata,West Bengal,yes,4/21/2021,6,Son,no,23
BPL200106,yes,Asha Verma,Female,25,700001,"H.No. 485, Ward 3",Kolkata,West Bengal,yes,4/21/2021,4,Sister,no,30
BPL200107,yes,Neha Singh,Female,18,700001,"H.No. 831, Ward 7",Kolkata,West Bengal,yes,4/21/2021,6,Brother,no,23
BPL200108,yes,Sunita Gowda,Female,19,700001,"H.No. 828, Ward 14",Kolkata,West Bengal,yes,4/21/2021,5,Daughter,no,24
BPL200109,yes,Meena Reddy,Female,25,700001,"H.No. 483, Ward 17",Kolkata,West Bengal,no,4/21/2021,6,Sister,no,30
BPL200110,yes,Rohit Singh,Male,18,700001,"H.No. 904, Ward 3",Kolkata,West Bengal,yes,4/21/2021,3,Daughter,no,23
BPL200111,yes,Meena Reddy,Female,25,700001,"H.No. 94, Ward 7",Kolkata,West Bengal,yes,4/21/2021,4,Sister,no,30
BPL200112,yes,Manoj Reddy,Male,22,700001,"H.No. 165, Ward 21",Kolkata,West Bengal,yes,4/21/2021,4,Sister,no,27
BPL200113,yes,Asha Patil,Female,25,700001,"H.No. 156, Ward 4",Kolkata,West Bengal,no,4/21/2021,4,Son,no,30
BPL200114,yes,Asha Gowda,Female,22,700001,"H.No. 121, Ward 7",Kolkata,West Bengal,yes,4/21/2021,6,Son,no,27
BPL200115,yes,Ritu Kumar,Female,22,700001,"H.No. 303, Ward 9",Kolkata,West Bengal,yes,4/21/2021,6,Son,no,27
BPL200116,yes,Manoj Singh,Male,22,700001,"H.No. 206, Ward 16",Kolkata,West Bengal,no,4/21/2021,3,Sister,no,27
BPL200117,yes,Vikas Iyer,Male,18,700001,"H.No. 5, Ward 22",Kolkata,West Bengal,yes,4/21/2021,5,Sister,no,23
BPL200118,yes,Meena Kumar,Female,24,700001,"H.No. 169, Ward 7",Kolkata,West Bengal,yes,4/21/2021,4,Son,no,29
BPL200119,yes,Asha Das,Female,25,700001,"H.No. 319, Ward 13",Kolkata,West Bengal,yes,4/21/2021,5,Brother,no,30
BPL200120,yes,Neha Verma,Female,20,700001,"H.No. 921, Ward 10",Kolkata,West Bengal,no,4/21/2021,3,Daughter,no,25
BPL200121,yes,Pooja Iyer,Female,24,700001,"H.No. 774, Ward 20",Kolkata,West Bengal,yes,4/21/2021,4,Sister,no,29
BPL200122,yes,Asha Singh,Female,24,700001,"H.No. 893, Ward 10",Kolkata,West Bengal,yes,4/21/2021,5,Son,no,29
BPL200123,yes,Deepak Gowda,Male,23,700001,"H.No. 190, Ward 13",Kolkata,West Bengal,yes,4/21/2021,6,Brother,no,28
BPL200124,yes,Ritu Das,Female,23,700001,"H.No. 854, Ward 12",Kolkata,West Bengal,yes,4/21/2021,3,Son,no,28
BPL200125,yes,Anil Gowda,Male,19,700001,"H.No. 541, Ward 13",Kolkata,West Bengal,yes,4/21/2021,5,Daughter,no,24
BPL200126,yes,Pooja Sharma,Female,20,700001,"H.No. 661, Ward 25",Kolkata,West Bengal,yes,4/21/2021,5,Daughter,no,25
BPL200127,yes,Asha Singh,Female,18,700001,"H.No. 327, Ward 23",Kolkata,West Bengal,no,4/21/2021,6,Daughter,no,23
BPL200128,yes,Asha Verma,Female,19,700001,"H.No. 345, Ward 17",Kolkata,West Bengal,yes,4/21/2021,3,Son,no,24
BPL200129,yes,Arjun Gowda,Male,21,700001,"H.No. 563, Ward 3",Kolkata,West Bengal,yes,4/21/2021,5,Son,no,26
BPL200130,yes,Manoj Das,Male,10,700001,"H.No. 831, Ward 2",Kolkata,West Bengal,yes,4/21/2021,7,Mother,yes,15
BPL200131,yes,Sunita Sharma,Female,56,700001,"H.No. 127, Ward 25",Kolkata,West Bengal,no,4/21/2021,6,Spouse,no,61
BPL200132,yes,Vikas Verma,Male,33,700001,"H.No. 518, Ward 1",Kolkata,West Bengal,no,4/21/2021,3,Mother,yes,38
BPL200133,yes,Sunita Gowda,Female,6,700001,"H.No. 410, Ward 23",Kolkata,West Bengal,no,4/21/2021,6,Spouse,yes,11
BPL200134,yes,Pooja Gowda,Female,11,700001,"H.No. 485, Ward 13",Kolkata,West Bengal,no,4/21/2021,6,Head,yes,16
BPL200135,yes,Manoj Das,Male,15,700001,"H.No. 992, Ward 8",Kolkata,West Bengal,yes,4/21/2021,4,Mother,yes,20
BPL200136,yes,Amit Kumar,Male,13,700001,"H.No. 412, Ward 4",Kolkata,West Bengal,no,4/21/2021,7,Mother,no,18
BPL200137,yes,Sunita Singh,Female,27,700001,"H.No. 250, Ward 25",Kolkata,West Bengal,yes,4/21/2021,6,Mother,no,32
BPL200138,yes,Meena Kumar,Female,49,700001,"H.No. 332, Ward 11",Kolkata,West Bengal,no,4/21/2021,3,Spouse,yes,54
BPL200139,yes,Amit Reddy,Male,6,700001,"H.No. 348, Ward 16",Kolkata,West Bengal,yes,4/21/2021,3,Spouse,yes,11
BPL200140,yes,Lakshmi Sharma,Female,51,700001,"H.No. 699, Ward 24",Kolkata,West Bengal,no,4/21/2021,3,Father,no,56
BPL200141,yes,Ritu Patil,Female,34,700001,"H.No. 590, Ward 15",Kolkata,West Bengal,yes,4/21/2021,4,Spouse,no,39
BPL200142,yes,Arjun Patil,Male,43,700001,"H.No. 192, Ward 19",Kolkata,West Bengal,no,4/21/2021,3,Father,yes,48
BPL200143,yes,Amit Verma,Male,9,700001,"H.No. 545, Ward 11",Kolkata,West Bengal,yes,4/21/2021,4,Head,yes,14
BPL200144,yes,Anita Sharma,Female,8,700001,"H.No. 356, Ward 10",Kolkata,West Bengal,no,4/21/2021,6,Spouse,yes,13
BPL200145,yes,Ritu Gowda,Female,59,700001,"H.No. 473, Ward 23",Kolkata,West Bengal,no,4/21/2021,5,Mother,yes,64
BPL200146,yes,Anil Iyer,Male,9,700001,"H.No. 130, Ward 5",Kolkata,West Bengal,yes,4/21/2021,4,Spouse,yes,14
BPL200147,yes,Neha Reddy,Female,45,700001,"H.No. 809, Ward 8",Kolkata,West Bengal,no,4/21/2021,6,Father,yes,50
BPL200148,yes,Prakash Verma,Male,41,700001,"H.No. 211, Ward 9",Kolkata,West Bengal,yes,4/21/2021,6,Mother,yes,46
BPL200149,yes,Rohit Naidu,Male,62,700001,"H.No. 292, Ward 9",Kolkata,West Bengal,no,4/21/2021,6,Spouse,no,67
BPL200150,yes,Lakshmi Iyer,Female,30,700001,"H.No. 876, Ward 14",Kolkata,West Bengal,yes,4/21/2021,6,Head,no,35
BPL200151,yes,Vikas Kumar,Male,31,700001,"H.No. 275, Ward 24",Kolkata,West Bengal,yes,4/21/2021,7,Father,yes,36
BPL200152,yes,Pooja Kumar,Female,47,700001,"H.No. 714, Ward 20",Kolkata,West Bengal,no,4/21/2021,7,Mother,yes,52
BPL200153,yes,Meena Sharma,Female,35,700001,"H.No. 329, Ward 7",Kolkata,West Bengal,no,4/21/2021,5,Mother,no,40
BPL200154,yes,Vikas Das,Male,51,700001,"H.No. 656, Ward 3",Kolkata,West Bengal,yes,4/21/2021,4,Spouse,no,56
BPL200155,yes,Anita Gowda,Female,17,700001,"H.No. 80, Ward 9",Kolkata,West Bengal,no,4/21/2021,3,Head,yes,22
BPL200156,yes,Prakash Singh,Male,27,700001,"H.No. 213, Ward 15",Kolkata,West Bengal,no,4/21/2021,3,Head,no,32
BPL200157,yes,Meena Verma,Female,49,700001,"H.No. 765, Ward 23",Kolkata,West Bengal,no,4/21/2021,7,Spouse,no,54
BPL200158,yes,Lakshmi Sharma,Female,70,700001,"H.No. 577, Ward 22",Kolkata,West Bengal,no,4/21/2021,3,Mother,no,75
BPL200159,yes,Asha Singh,Female,32,700001,"H.No. 715, Ward 2",Kolkata,West Bengal,yes,4/21/2021,5,Father,yes,37
BPL200160,yes,Amit Singh,Male,50,700001,"H.No. 676, Ward 17",Kolkata,West Bengal,no,4/21/2021,3,Head,no,55
BPL200161,yes,Vikas Singh,Male,13,700001,"H.No. 420, Ward 25",Kolkata,West Bengal,yes,4/21/2021,4,Mother,yes,18
BPL200162,yes,Ritu Patil,Female,63,700001,"H.No. 701, Ward 22",Kolkata,West Bengal,yes,4/21/2021,7,Mother,no,68
BPL200163,yes,Lakshmi Singh,Female,27,700001,"H.No. 368, Ward 19",Kolkata,West Bengal,no,4/21/2021,3,Mother,no,32
BPL200164,yes,Rohit Singh,Male,54,700001,"H.No. 259, Ward 12",Kolkata,West Bengal,no,4/21/2021,7,Father,yes,59
BPL200165,yes,Prakash Naidu,Male,66,700001,"H.No. 803, Ward 14",Kolkata,West Bengal,yes,4/21/2021,4,Father,yes,71
BPL200166,yes,Suresh Gowda,Male,49,700001,"H.No. 61, Ward 4",Kolkata,West Bengal,no,4/21/2021,6,Head,yes,54
BPL200167,yes,Rohit Naidu,Male,69,700001,"H.No. 719, Ward 5",Kolkata,West Bengal,yes,4/21/2021,6,Mother,no,74
BPL200168,yes,Kavya Kumar,Female,48,700001,"H.No. 181, Ward 15",Kolkata,West Bengal,yes,4/21/2021,7,Spouse,no,53
BPL200169,yes,Anil Sharma,Male,9,700001,"H.No. 111, Ward 23",Kolkata,West Bengal,no,4/21/2021,7,Spouse,yes,14
BPL200170,yes,Pooja Das,Female,13,700001,"H.No. 367, Ward 16",Kolkata,West Bengal,no,4/21/2021,4,Father,yes,18
BPL200171,yes,Anita Sharma,Female,49,700001,"H.No. 189, Ward 17",Kolkata,West Bengal,no,4/21/2021,5,Head,yes,54
BPL200172,yes,Lakshmi Singh,Female,7,700001,"H.No. 856, Ward 25",Kolkata,West Bengal,no,4/21/2021,6,Head,yes,12
BPL200173,yes,Anita Verma,Female,12,700001,"H.No. 443, Ward 22",Kolkata,West Bengal,no,4/21/2021,5,Mother,no,17
BPL200174,yes,Vikas Verma,Male,67,700001,"H.No. 942, Ward 5",Kolkata,West Bengal,yes,4/21/2021,7,Head,yes,72
BPL200175,yes,Arjun Singh,Male,10,700001,"H.No. 383, Ward 5",Kolkata,West Bengal,yes,4/21/2021,7,Spouse,no,15
BPL200176,yes,Kavya Sharma,Female,15,700001,"H.No. 904, Ward 8",Kolkata,West Bengal,no,4/21/2021,4,Head,no,20
BPL200177,yes,Kavya Das,Female,5,700001,"H.No. 304, Ward 24",Kolkata,West Bengal,yes,4/21/2021,5,Mother,no,10
BPL200178,yes,Meena Gowda,Female,57,700001,"H.No. 32, Ward 14",Kolkata,West Bengal,yes,4/21/2021,6,Spouse,yes,62
BPL200179,yes,Rahul Verma,Male,6,700001,"H.No. 375, Ward 9",Kolkata,West Bengal,no,4/21/2021,4,Spouse,no,11
BPL200180,yes,Asha Verma,Female,18,560001,"H.No. 940, Ward 12",Bengaluru,Karnataka,yes,4/21/2021,5,Sister,no,23
BPL200181,yes,Asha Patil,Female,20,560001,"H.No. 5, Ward 23",Bengaluru,Karnataka,no,4/21/2021,6,Daughter,no,25
BPL200182,yes,Vikas Reddy,Male,19,560001,"H.No. 820, Ward 11",Bengaluru,Karnataka,no,4/21/2021,4,Sister,no,24
BPL200183,yes,Divya Sharma,Female,18,560001,"H.No. 677, Ward 21",Bengaluru,Karnataka,yes,4/21/2021,6,Son,no,23
BPL200184,yes,Pooja Iyer,Female,18,560001,"H.No. 648, Ward 10",Bengaluru,Karnataka,yes,4/21/2021,4,Son,no,23
BPL200185,yes,Lakshmi Reddy,Female,19,560001,"H.No. 185, Ward 12",Bengaluru,Karnataka,yes,4/21/2021,4,Brother,no,24
BPL200186,yes,Asha Patil,Female,24,560001,"H.No. 325, Ward 8",Bengaluru,Karnataka,yes,4/21/2021,3,Brother,no,29
BPL200187,yes,Neha Reddy,Female,21,560001,"H.No. 719, Ward 5",Bengaluru,Karnataka,no,4/21/2021,3,Brother,no,26
BPL200188,yes,Asha Gowda,Female,22,560001,"H.No. 442, Ward 10",Bengaluru,Karnataka,no,4/21/2021,6,Sister,no,27
BPL200189,yes,Arjun Patil,Male,20,560001,"H.No. 337, Ward 8",Bengaluru,Karnataka,yes,4/21/2021,3,Brother,no,25
BPL200190,yes,Vikas Kumar,Male,19,560001,"H.No. 191, Ward 9",Bengaluru,Karnataka,no,4/21/2021,6,Daughter,no,24
BPL200191,yes,Rahul Naidu,Male,19,560001,"H.No. 355, Ward 13",Bengaluru,Karnataka,yes,4/21/2021,6,Son,no,24
BPL200192,yes,Lakshmi Iyer,Female,20,560001,"H.No. 234, Ward 12",Bengaluru,Karnataka,yes,4/21/2021,3,Sister,no,25
BPL200193,yes,Pooja Verma,Female,18,560001,"H.No. 524, Ward 22",Bengaluru,Karnataka,no,4/21/2021,4,Brother,no,23
BPL200194,yes,Ritu Kumar,Female,23,560001,"H.No. 58, Ward 18",Bengaluru,Karnataka,no,4/21/2021,4,Son,no,28
